ID	FCLower	FCUpper
9373	1	3
143	-3	-1
730249	1	3
8986	1	3
8773	-3	-1
10949	1	3
2687	-3	-1
50507	-3	-1
6915	-3	-1
5742	1	3
3588	-3	-1
1392	1	3
604	1	3
8792	1	3
2353	1	3
27242	-3	-1
9759	1	3
8372	-3	-1
54899	1	3
246	1	3
11334	-3	-1
1903	1	3
9240	1	3
5590	1	3
2350	-3	-1
2852	1	3
3818	-3	-1
8111	-3	-1
27035	-3	-1
3683	1	3
5023	1	3
30814	1	3
1401	1	3
11343	-3	-1
8620	1	3
566	-3	-1
7128	1	3
3373	-3	-1
30817	-3	-1
6403	1	3
186	-3	-1
7852	1	3
345	-3	-1
1233	1	3
1234	1	3
255626	-3	-1
3091	1	3
80833	1	3
4798	1	3
5265	1	3
196527	-3	-1
6401	-3	-1
11019	-3	-1
133396	1	3
4086	-3	-1
10100	-3	-1
4799	-3	-1
5027	-3	-1
84807	1	3
6556	-3	-1
4968	-3	-1
958	-3	-1
197	-3	-1
325	-3	-1
8482	1	3
4775	1	3
147945	-3	-1
3559	1	3
240	1	3
6542	-3	-1
3240	1	3
7130	1	3
10125	-3	-1
8460	1	3
59307	-3	-1
4988	1	3
56998	-3	-1
4851	1	3
7293	1	3
6256	-3	-1
9111	1	3
5423	1	3
55801	-3	-1
9435	1	3
3568	-3	-1
259197	-3	-1
8784	1	3
23166	-3	-1
1990	-3	-1
2152	-3	-1
51157	-3	-1
57834	1	3
10318	1	3
4069	1	3
207	1	3
8534	1	3
2532	1	3
3620	1	3
5345	1	3
23135	-3	-1
2683	-3	-1
56603	1	3
55848	-3	-1
91807	1	3
64581	-3	-1
81793	-3	-1
4915	1	3
7857	-3	-1
6696	1	3
3340	1	3
50848	-3	-1
27102	-3	-1
148022	-3	-1
9332	1	3
8877	1	3
23	-3	-1
624	1	3
64386	-3	-1
5004	-3	-1
6335	1	3
59082	-3	-1
3566	-3	-1
10014	-3	-1
2829	1	3
5743	1	3
1991	-3	-1
7037	1	3
8794	1	3
150372	1	3
4225	1	3
2149	-3	-1
11315	-3	-1
29760	-3	-1
23780	1	3
64332	1	3
3162	-3	-1
1269	-3	-1
3579	-3	-1
10663	1	3
56925	-3	-1
3988	1	3
316	1	3
199	-3	-1
53833	1	3
26279	1	3
4065	-3	-1
313	-3	-1
3269	1	3
8807	1	3
81929	-3	-1
29949	1	3
4776	1	3
4780	-3	-1
6777	-3	-1
27159	1	3
191	-3	-1
1232	1	3
7133	-3	-1
1999	-3	-1
658	1	3
2833	-3	-1
1236	-3	-1
150	1	3
8797	-3	-1
8793	-3	-1
3604	-3	-1
1036	-3	-1
5971	-3	-1
9734	-3	-1
2147	1	3
976	-3	-1
26471	-3	-1
3077	1	3
3630	-3	-1
3577	1	3
7349	-3	-1
9255	-3	-1
2358	-3	-1
2053	1	3
5068	-3	-1
4779	1	3
623	1	3
80274	-3	-1
4982	-3	-1
5970	1	3
5547	-3	-1
2697	-3	-1
2335	-3	-1
25824	1	3
2867	-3	-1
5879	1	3
1238	-3	-1
5293	-3	-1
8718	1	3
83700	1	3
7132	-3	-1
10164	1	3
1241	1	3
939	1	3
9473	-3	-1
57118	1	3
922	1	3
728	1	3
1230	-3	-1
6614	1	3
4048	-3	-1
56413	-3	-1
3190	-3	-1
3815	1	3
6869	1	3
90	1	3
943	1	3
60675	-3	-1
2206	1	3
3700	1	3
3516	1	3
84957	-3	-1
6863	-3	-1
5919	-3	-1
177	1	3
5354	-3	-1
4055	-3	-1
8455	1	3
259249	1	3
12	-3	-1
1393	1	3
814	1	3
27202	1	3
8639	-3	-1
8795	1	3
1116	1	3
4671	1	3
51083	-3	-1
8605	1	3
54658	1	3
336	1	3
